482.8, 1
492.9, 1
493.9, 1
494.6, 1
494.9, 2
495.4, 1
495.6, 1
495.9, 1
496.6, 2
496.9, 1
497.3, 2
497.8, 1
498.3, 3
498.6, 4
498.8, 2
499.3, 4
499.6, 10
499.8, 7
500.1, 10
500.3, 9
500.6, 12
500.8, 5
501.1, 16
501.3, 18
501.5, 16
501.8, 25
502, 19
502.3, 35
502.5, 34
502.8, 36
503, 48
503.3, 54
503.5, 73
503.8, 74
504, 99
504.3, 108
504.5, 165
504.8, 187
505, 256
505.3, 311
505.5, 386
505.7, 492
506, 667
506.2, 871
506.5, 1195
506.7, 1531
507, 2030
507.2, 2746
507.5, 3672
507.7, 5029
508, 6600
508.2, 9218
508.5, 12387
508.7, 16557
509, 22010
509.2, 28926
509.5, 35762
509.7, 44099
510, 51332
510.2, 57199
510.4, 62750
510.7, 65873
510.9, 66492
511.2, 65814
511.4, 62648
511.7, 57504
511.9, 51562
512.2, 43771
512.4, 35984
512.7, 28789
512.9, 22104
513.2, 16511
513.4, 12214
513.7, 9024
513.9, 6440
514.2, 4950
514.4, 3628
514.6, 2726
514.9, 2093
515.1, 1468
515.4, 1124
515.6, 857
515.9, 675
516.1, 473
516.4, 364
516.6, 288
516.9, 207
517.1, 168
517.4, 139
517.6, 115
517.9, 97
518.1, 65
518.4, 62
518.6, 46
518.8, 30
519.1, 34
519.3, 22
519.6, 26
519.8, 23
520.1, 15
520.3, 20
520.6, 18
520.8, 12
521.1, 6
521.3, 8
521.6, 5
521.8, 11
522.1, 5
522.3, 7
522.6, 5
522.8, 5
523.1, 4
523.3, 1
523.5, 1
523.8, 1
524, 2
524.3, 2
524.5, 3
525, 5
525.5, 1
525.8, 3
526, 2
526.3, 2
526.5, 1
526.8, 1
528, 1
533.9, 1
534.7, 1
534.9, 1
536.1, 1
539.1, 1
539.4, 1
