484.2, 2
484.5, 1
485.2, 1
485.5, 1
486.7, 1
487, 1
487.2, 1
487.5, 2
489.9, 2
491.4, 1
491.7, 1
492.2, 1
493.4, 1
493.6, 1
493.9, 1
494.9, 1
495.1, 1
495.4, 2
495.6, 2
496.4, 3
496.9, 3
497.1, 2
497.3, 4
497.8, 2
498.1, 3
498.3, 2
498.6, 2
499.1, 1
499.3, 2
499.6, 2
499.8, 3
500.1, 5
500.3, 2
500.6, 4
500.8, 7
501.1, 7
501.3, 5
501.5, 2
501.8, 11
502, 12
502.3, 14
502.5, 8
502.8, 20
503, 11
503.3, 22
503.5, 24
503.8, 20
504, 36
504.3, 32
504.5, 36
504.8, 38
505, 67
505.3, 68
505.5, 94
505.7, 115
506, 156
506.2, 201
506.5, 249
506.7, 343
507, 482
507.2, 768
507.5, 1285
507.7, 1995
508, 3267
508.2, 5151
508.5, 8471
508.7, 12940
509, 19237
509.2, 27960
509.5, 39280
509.7, 53574
510, 68736
510.2, 85805
510.4, 100556
510.7, 111927
510.9, 114907
511.2, 109461
511.4, 97465
511.7, 81437
511.9, 64707
512.2, 49184
512.4, 35944
512.7, 24974
512.9, 16996
513.2, 11251
513.4, 7174
513.7, 4296
513.9, 2755
514.2, 1643
514.4, 1080
514.6, 677
514.9, 405
515.1, 298
515.4, 227
515.6, 184
515.9, 142
516.1, 99
516.4, 85
516.6, 57
516.9, 39
517.1, 41
517.4, 39
517.6, 33
517.9, 27
518.1, 28
518.4, 15
518.6, 13
518.8, 12
519.1, 9
519.3, 9
519.6, 11
519.8, 14
520.1, 3
520.3, 4
520.6, 5
520.8, 4
521.1, 4
521.3, 2
521.6, 3
521.8, 1
522.3, 5
522.6, 1
522.8, 3
523.3, 1
523.5, 2
524.3, 1
524.5, 1
525.3, 2
525.5, 1
525.8, 2
526.3, 1
526.5, 3
527, 1
527.3, 2
527.5, 2
527.7, 2
528, 1
530, 1
530.2, 1
530.7, 1
531, 1
531.2, 1
531.5, 1
531.7, 2
531.9, 1
532.7, 1
534.2, 1
535.4, 1
536.1, 1
536.9, 1
537.4, 1
