483.3, 1
486.7, 2
487.7, 2
488, 1
488.7, 2
489.9, 1
490.2, 2
490.7, 1
490.9, 1
491.2, 1
491.7, 1
491.9, 2
492.2, 1
492.7, 2
492.9, 2
493.1, 1
493.4, 1
493.6, 2
494.1, 2
494.4, 1
494.6, 1
495.1, 2
495.4, 2
495.9, 1
496.1, 3
496.4, 2
496.6, 1
496.9, 3
497.1, 3
497.3, 2
497.6, 5
497.8, 2
498.1, 5
498.3, 7
498.6, 5
498.8, 8
499.1, 6
499.3, 9
499.6, 3
499.8, 7
500.1, 12
500.3, 11
500.6, 9
500.8, 11
501.1, 13
501.3, 12
501.5, 22
501.8, 28
502, 32
502.3, 26
502.5, 45
502.8, 47
503, 59
503.3, 72
503.5, 82
503.8, 113
504, 132
504.3, 158
504.5, 207
504.8, 284
505, 329
505.3, 453
505.5, 532
505.7, 724
506, 876
506.2, 1168
506.5, 1522
506.7, 2008
507, 2811
507.2, 3645
507.5, 5071
507.7, 6627
508, 9251
508.2, 12529
508.5, 19318
508.7, 30416
509, 50587
509.2, 81060
509.5, 122240
509.7, 168157
510, 214795
510.2, 255995
510.4, 287324
510.7, 307052
510.9, 313337
511.2, 308663
511.4, 290816
511.7, 263541
511.9, 223900
512.2, 177855
512.4, 131152
512.7, 89053
512.9, 55722
513.2, 33584
513.4, 20295
513.7, 13074
513.9, 9189
514.2, 6941
514.4, 4951
514.6, 3761
514.9, 2785
515.1, 1950
515.4, 1514
515.6, 1129
515.9, 882
516.1, 694
516.4, 495
516.6, 434
516.9, 308
517.1, 271
517.4, 190
517.6, 164
517.9, 123
518.1, 113
518.4, 91
518.6, 88
518.8, 65
519.1, 51
519.3, 48
519.6, 32
519.8, 38
520.1, 25
520.3, 25
520.6, 20
520.8, 17
521.1, 20
521.3, 15
521.6, 11
521.8, 10
522.1, 13
522.3, 5
522.6, 7
522.8, 10
523.1, 8
523.3, 6
523.5, 7
523.8, 4
524, 4
524.3, 3
524.5, 1
524.8, 3
525, 3
525.3, 5
525.5, 4
525.8, 3
526, 3
526.3, 5
526.5, 3
526.8, 1
527.3, 3
527.5, 2
528, 1
528.2, 1
528.7, 1
529.5, 1
529.7, 1
530.2, 2
530.7, 1
531, 1
531.2, 1
531.5, 2
531.9, 1
532.2, 1
532.7, 1
532.9, 1
533.4, 3
533.7, 1
533.9, 1
534.7, 1
535.9, 2
537.6, 1
