492.9, 1.9017, 2.3291
494.6, 3.8034, 5.37882
495.4, 1.9017, 2.3291
495.9, 3.8034, 5.37882
496.6, 7.6068, 9.31639
496.9, 1.2678, 1.46393
497.3, 3.8034, 3.8034
497.8, 1.9017, 2.3291
498.3, 1.63003, 1.12483
498.6, 3.04272, 2.04112
498.8, 0.95085, 0.751713
499.3, 1.6904, 1.0158
499.6, 12.678, 8.34568
499.8, 3.8034, 2.033
500.1, 3.1695, 1.3571
500.3, 3.11187, 1.39868
500.6, 5.0712, 2.23619
500.8, 1.72882, 0.932455
501.1, 4.68111, 1.7479
501.3, 5.7051, 2.12617
501.5, 2.76611, 0.908845
501.8, 3.39589, 0.934422
502, 2.25827, 0.654047
502.3, 5.11996, 1.3256
502.5, 2.87368, 0.65299
502.8, 2.91324, 0.645232
503, 3.09429, 0.60146
503.3, 2.85255, 0.513518
503.5, 3.38595, 0.544852
503.8, 2.49072, 0.37247
504, 2.85255, 0.379258
504.3, 2.59979, 0.324593
504.5, 3.0317, 0.316395
504.8, 2.50435, 0.235845
505, 2.95949, 0.246647
505.3, 2.61116, 0.192288
505.5, 2.75961, 0.18451
505.7, 2.58463, 0.151013
506, 2.89597, 0.14882
506.2, 2.83627, 0.126977
506.5, 2.98624, 0.115419
506.7, 2.8999, 0.0983908
507, 2.74668, 0.0800012
507.2, 2.86533, 0.0724037
507.5, 2.75411, 0.0596779
507.7, 2.88627, 0.0539774
508, 2.71348, 0.0437209
508.2, 2.79829, 0.0383986
508.5, 2.4388, 0.0280722
508.7, 2.07039, 0.0199956
509, 1.65483, 0.0133624
509.2, 1.35723, 0.00929555
509.5, 1.11271, 0.00668951
509.7, 0.997438, 0.00533635
510, 0.908942, 0.00446554
510.2, 0.849824, 0.0039303
510.4, 0.830642, 0.00366017
510.7, 0.815958, 0.00350363
510.9, 0.807105, 0.00344614
511.2, 0.810972, 0.00348191
511.4, 0.819334, 0.00360887
511.7, 0.829893, 0.00381972
511.9, 0.875886, 0.00427845
512.2, 0.936036, 0.00499432
512.4, 1.04353, 0.00621011
512.7, 1.22956, 0.00833609
512.9, 1.50875, 0.0119931
513.2, 1.86988, 0.0177729
513.4, 2.28897, 0.0262132
513.7, 2.6252, 0.0359282
513.9, 2.66557, 0.043319
514.2, 2.71241, 0.0504604
514.4, 2.78706, 0.0609094
514.6, 2.75673, 0.0693429
514.9, 2.85835, 0.0826875
515.1, 2.86328, 0.0989394
515.4, 2.82366, 0.111174
515.6, 2.88708, 0.130801
515.9, 2.91077, 0.148856
516.1, 2.59223, 0.154561
516.4, 2.79684, 0.193113
516.6, 2.52392, 0.191824
516.9, 2.55618, 0.229739
517.1, 2.35783, 0.231529
517.4, 2.78249, 0.310561
517.6, 2.66702, 0.324382
517.9, 2.99943, 0.407297
518.1, 2.1878, 0.340582
518.4, 2.59133, 0.426728
518.6, 1.98814, 0.361726
518.8, 1.75542, 0.387458
519.1, 2.5356, 0.561391
519.3, 1.74323, 0.448818
519.6, 3.09026, 0.81592
519.8, 2.30206, 0.608171
520.1, 2.28204, 0.745311
520.3, 3.04272, 0.912816
520.6, 3.42306, 1.11213
520.8, 2.68475, 1.01225
521.1, 1.14102, 0.531116
521.3, 2.02848, 0.888064
521.6, 1.72882, 0.932455
521.8, 4.18374, 1.82801
522.1, 1.46285, 0.769801
522.3, 5.32476, 3.11786
522.6, 2.71671, 1.59075
522.8, 1.9017, 1.0416
523.1, 1.9017, 1.16455
523.3, 0.6339, 0.68469
523.5, 0.543343, 0.580858
523.8, 0.95085, 1.06308
524, 1.9017, 1.64692
524.3, 2.5356, 2.31468
524.5, 11.4102, 13.1754
525, 6.339, 4.62935
525.5, 0.95085, 1.06308
525.8, 3.8034, 3.10546
526, 2.5356, 2.31468
526.3, 1.52136, 1.27286
526.5, 1.2678, 1.46393
526.8, 3.8034, 5.37882
528, 3.8034, 5.37882
533.9, 3.8034, 5.37882
534.7, 3.8034, 5.37882
